number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
85,0.8121398972175438,2026-09-21 14:54:08.822250,2026-09-21 14:54:11.870982,0 days 00:00:03.048732,0.6423472706412803,1.718217796056104,0.020234859887813584,6,4.237656614336308,650,0.0227079559085679,0.9446193076690199,,"{""colsample_bytree"": 0.6423472706412803, ""gamma"": 1.718217796056104, ""learning_rate"": 0.020234859887813584, ""max_depth"": 6, ""min_child_weight"": 4.237656614336308, ""n_estimators"": 650, ""reg_lambda"": 0.0227079559085679, ""subsample"": 0.9446193076690199}",COMPLETE
86,0.8093238542662136,2026-09-21 14:54:11.871460,2026-09-21 14:54:13.531713,0 days 00:00:01.660253,0.3361405203772539,0.3676676579787895,0.025010108243066764,5,3.7973694321364913,300,0.0059748764584481185,0.9185937074441541,,"{""colsample_bytree"": 0.3361405203772539, ""gamma"": 0.3676676579787895, ""learning_rate"": 0.025010108243066764, ""max_depth"": 5, ""min_child_weight"": 3.7973694321364913, ""n_estimators"": 300, ""reg_lambda"": 0.0059748764584481185, ""subsample"": 0.9185937074441541}",COMPLETE
87,0.8122733130507859,2026-09-21 14:54:13.531757,2026-09-21 14:54:15.470257,0 days 00:00:01.938500,0.6758558782773656,1.1275683725627665,0.04180330893583879,5,6.133441326765051,400,0.19490081297046613,0.905062005044641,,"{""colsample_bytree"": 0.6758558782773656, ""gamma"": 1.1275683725627665, ""learning_rate"": 0.04180330893583879, ""max_depth"": 5, ""min_child_weight"": 6.133441326765051, ""n_estimators"": 400, ""reg_lambda"": 0.19490081297046613, ""subsample"": 0.905062005044641}",COMPLETE
88,0.8105646796921357,2026-09-21 14:54:15.470361,2026-09-21 14:54:17.524760,0 days 00:00:02.054399,0.3582203452552547,1.6000971596919573,0.025773771451406906,5,4.62320806364417,300,0.004858679613141496,0.9436800023053105,,"{""colsample_bytree"": 0.3582203452552547, ""gamma"": 1.6000971596919573, ""learning_rate"": 0.025773771451406906, ""max_depth"": 5, ""min_child_weight"": 4.62320806364417, ""n_estimators"": 300, ""reg_lambda"": 0.004858679613141496, ""subsample"": 0.9436800023053105}",COMPLETE
89,0.8112906975734866,2026-09-21 14:54:17.525042,2026-09-21 14:54:20.326652,0 days 00:00:02.801610,0.41475263430036713,0.5968555251851121,0.021551303526809902,6,4.059639168500214,250,0.007863647249218782,0.9949397847594542,,"{""colsample_bytree"": 0.41475263430036713, ""gamma"": 0.5968555251851121, ""learning_rate"": 0.021551303526809902, ""max_depth"": 6, ""min_child_weight"": 4.059639168500214, ""n_estimators"": 250, ""reg_lambda"": 0.007863647249218782, ""subsample"": 0.9949397847594542}",COMPLETE
90,0.8085137232510078,2026-09-21 14:54:20.327102,2026-09-21 14:54:23.216558,0 days 00:00:02.889456,0.33706422050867074,0.3130668646753447,0.03270777801392566,5,3.981221253923197,350,0.0032865608810759496,0.9517823080136806,,"{""colsample_bytree"": 0.33706422050867074, ""gamma"": 0.3130668646753447, ""learning_rate"": 0.03270777801392566, ""max_depth"": 5, ""min_child_weight"": 3.981221253923197, ""n_estimators"": 350, ""reg_lambda"": 0.0032865608810759496, ""subsample"": 0.9517823080136806}",COMPLETE
91,0.8087457861648625,2026-09-21 14:54:23.217062,2026-09-21 14:54:25.127410,0 days 00:00:01.910348,0.3425019519476902,0.937344787961177,0.031588913230287285,5,3.829449279035483,250,0.006646290287805812,0.9902696144155905,,"{""colsample_bytree"": 0.3425019519476902, ""gamma"": 0.937344787961177, ""learning_rate"": 0.031588913230287285, ""max_depth"": 5, ""min_child_weight"": 3.829449279035483, ""n_estimators"": 250, ""reg_lambda"": 0.006646290287805812, ""subsample"": 0.9902696144155905}",COMPLETE
92,0.8090339266574318,2026-09-21 14:54:25.127454,2026-09-21 14:54:27.526099,0 days 00:00:02.398645,0.39239431666280383,0.9194262849901104,0.0308058791896802,5,3.507324751121078,400,0.0024930528338275894,0.9689465145627629,,"{""colsample_bytree"": 0.39239431666280383, ""gamma"": 0.9194262849901104, ""learning_rate"": 0.0308058791896802, ""max_depth"": 5, ""min_child_weight"": 3.507324751121078, ""n_estimators"": 400, ""reg_lambda"": 0.0024930528338275894, ""subsample"": 0.9689465145627629}",COMPLETE
93,0.8133916264219954,2026-09-21 14:54:27.526371,2026-09-21 14:54:29.685533,0 days 00:00:02.159162,0.6198740993274346,1.5978446210800634,0.03223459659105457,6,4.638229560518087,550,0.02590390968453662,0.9574276240791064,,"{""colsample_bytree"": 0.6198740993274346, ""gamma"": 1.5978446210800634, ""learning_rate"": 0.03223459659105457, ""max_depth"": 6, ""min_child_weight"": 4.638229560518087, ""n_estimators"": 550, ""reg_lambda"": 0.02590390968453662, ""subsample"": 0.9574276240791064}",COMPLETE
94,0.8109938889788489,2026-09-21 14:54:29.685583,2026-09-21 14:54:31.896746,0 days 00:00:02.211163,0.5875283343131084,0.9164270607244032,0.03791790031104452,6,4.216930508394269,500,0.012432035924942417,0.9929056785472283,,"{""colsample_bytree"": 0.5875283343131084, ""gamma"": 0.9164270607244032, ""learning_rate"": 0.03791790031104452, ""max_depth"": 6, ""min_child_weight"": 4.216930508394269, ""n_estimators"": 500, ""reg_lambda"": 0.012432035924942417, ""subsample"": 0.9929056785472283}",COMPLETE
95,0.8084400787525654,2026-09-21 14:54:31.896918,2026-09-21 14:54:33.553656,0 days 00:00:01.656738,0.3795355451353685,0.43184814356974405,0.021303907719552453,5,4.02587841423757,250,0.008581343132983952,0.9819307687424438,,"{""colsample_bytree"": 0.3795355451353685, ""gamma"": 0.43184814356974405, ""learning_rate"": 0.021303907719552453, ""max_depth"": 5, ""min_child_weight"": 4.02587841423757, ""n_estimators"": 250, ""reg_lambda"": 0.008581343132983952, ""subsample"": 0.9819307687424438}",COMPLETE
96,0.8136159558519678,2026-09-21 14:54:33.553948,2026-09-21 14:54:36.357694,0 days 00:00:02.803746,0.6420954019434953,2.5041631630281938,0.025508954152216913,7,5.661299676728423,450,0.09500782134776665,0.9821255560108549,,"{""colsample_bytree"": 0.6420954019434953, ""gamma"": 2.5041631630281938, ""learning_rate"": 0.025508954152216913, ""max_depth"": 7, ""min_child_weight"": 5.661299676728423, ""n_estimators"": 450, ""reg_lambda"": 0.09500782134776665, ""subsample"": 0.9821255560108549}",COMPLETE
97,0.8113213359357335,2026-09-21 14:54:36.357789,2026-09-21 14:54:39.159822,0 days 00:00:02.802033,0.6447914208967047,2.784310873397328,0.02272634672555892,7,6.313587902623117,400,0.079828125502936,0.9800657846579557,,"{""colsample_bytree"": 0.6447914208967047, ""gamma"": 2.784310873397328, ""learning_rate"": 0.02272634672555892, ""max_depth"": 7, ""min_child_weight"": 6.313587902623117, ""n_estimators"": 400, ""reg_lambda"": 0.079828125502936, ""subsample"": 0.9800657846579557}",COMPLETE
98,0.8131459132088003,2026-09-21 14:54:39.159909,2026-09-21 14:54:42.076858,0 days 00:00:02.916949,0.560297425699841,1.7559314164520061,0.0333810778287731,6,5.307776337175283,600,0.02767421485879143,0.9763021980455626,,"{""colsample_bytree"": 0.560297425699841, ""gamma"": 1.7559314164520061, ""learning_rate"": 0.0333810778287731, ""max_depth"": 6, ""min_child_weight"": 5.307776337175283, ""n_estimators"": 600, ""reg_lambda"": 0.02767421485879143, ""subsample"": 0.9763021980455626}",COMPLETE
99,0.8115850236480135,2026-09-21 14:54:42.077256,2026-09-21 14:54:45.794037,0 days 00:00:03.716781,0.595847976361241,1.0304374935541745,0.03390118398915734,6,4.718831411841177,550,0.011955720679222816,0.9424281956646587,,"{""colsample_bytree"": 0.595847976361241, ""gamma"": 1.0304374935541745, ""learning_rate"": 0.03390118398915734, ""max_depth"": 6, ""min_child_weight"": 4.718831411841177, ""n_estimators"": 550, ""reg_lambda"": 0.011955720679222816, ""subsample"": 0.9424281956646587}",COMPLETE
100,0.8124005351567776,2026-09-21 14:54:45.794230,2026-09-21 14:54:49.505213,0 days 00:00:03.710983,0.6799264578059013,0.8086045470598042,0.03022602547269444,6,5.882920390903594,500,0.01799188693102223,0.9526431574496133,,"{""colsample_bytree"": 0.6799264578059013, ""gamma"": 0.8086045470598042, ""learning_rate"": 0.03022602547269444, ""max_depth"": 6, ""min_child_weight"": 5.882920390903594, ""n_estimators"": 500, ""reg_lambda"": 0.01799188693102223, ""subsample"": 0.9526431574496133}",COMPLETE
101,0.8119150727243178,2026-09-21 14:54:49.505796,2026-09-21 14:54:52.245715,0 days 00:00:02.739919,0.6130320167725771,2.495553913489996,0.02505161016179087,6,5.743040234543504,450,0.07347012487332734,0.9692355845934555,,"{""colsample_bytree"": 0.6130320167725771, ""gamma"": 2.495553913489996, ""learning_rate"": 0.02505161016179087, ""max_depth"": 6, ""min_child_weight"": 5.743040234543504, ""n_estimators"": 450, ""reg_lambda"": 0.07347012487332734, ""subsample"": 0.9692355845934555}",COMPLETE
102,0.8110502211401455,2026-09-21 14:54:52.245903,2026-09-21 14:54:55.873438,0 days 00:00:03.627535,0.6526151161628313,1.2217255797099005,0.024989931388089116,6,4.3475841044670505,550,0.01206701080373445,0.9298023506138416,,"{""colsample_bytree"": 0.6526151161628313, ""gamma"": 1.2217255797099005, ""learning_rate"": 0.024989931388089116, ""max_depth"": 6, ""min_child_weight"": 4.3475841044670505, ""n_estimators"": 550, ""reg_lambda"": 0.01206701080373445, ""subsample"": 0.9298023506138416}",COMPLETE
103,0.8146549005733791,2026-09-21 14:54:55.873600,2026-09-21 14:54:58.996824,0 days 00:00:03.123224,0.6368303110599445,1.44330579115173,0.038568786216646965,6,4.97478448922046,600,0.031069527071948207,0.9335808579015327,,"{""colsample_bytree"": 0.6368303110599445, ""gamma"": 1.44330579115173, ""learning_rate"": 0.038568786216646965, ""max_depth"": 6, ""min_child_weight"": 4.97478448922046, ""n_estimators"": 600, ""reg_lambda"": 0.031069527071948207, ""subsample"": 0.9335808579015327}",COMPLETE
104,0.8129559186483661,2026-09-21 14:54:58.997184,2026-09-21 14:55:01.424821,0 days 00:00:02.427637,0.6222652682176036,1.4864840121005787,0.0280287986168391,6,4.214514043528996,400,0.026572529307038514,0.9460972567781352,,"{""colsample_bytree"": 0.6222652682176036, ""gamma"": 1.4864840121005787, ""learning_rate"": 0.0280287986168391, ""max_depth"": 6, ""min_child_weight"": 4.214514043528996, ""n_estimators"": 400, ""reg_lambda"": 0.026572529307038514, ""subsample"": 0.9460972567781352}",COMPLETE
105,0.8112078110129703,2026-09-21 14:55:01.425026,2026-09-21 14:55:04.575795,0 days 00:00:03.150769,0.6305433842381923,0.942230605493256,0.0392536244825449,6,5.2757509806869844,500,0.01709007656554532,0.9489342470973073,,"{""colsample_bytree"": 0.6305433842381923, ""gamma"": 0.942230605493256, ""learning_rate"": 0.0392536244825449, ""max_depth"": 6, ""min_child_weight"": 5.2757509806869844, ""n_estimators"": 500, ""reg_lambda"": 0.01709007656554532, ""subsample"": 0.9489342470973073}",COMPLETE
106,0.812386739486574,2026-09-21 14:55:04.576328,2026-09-21 14:55:06.974104,0 days 00:00:02.397776,0.6239686517699754,1.6112163021231054,0.026697793083053742,7,4.87373370562958,450,0.019455958757692376,0.9616617068284999,,"{""colsample_bytree"": 0.6239686517699754, ""gamma"": 1.6112163021231054, ""learning_rate"": 0.026697793083053742, ""max_depth"": 7, ""min_child_weight"": 4.87373370562958, ""n_estimators"": 450, ""reg_lambda"": 0.019455958757692376, ""subsample"": 0.9616617068284999}",COMPLETE
107,0.8085825071521577,2026-09-21 14:55:06.974186,2026-09-21 14:55:09.736971,0 days 00:00:02.762785,0.615795069554652,0.9789726422230083,0.0357443291049178,6,6.753597514294579,600,0.01533767580735594,0.962814537223329,,"{""colsample_bytree"": 0.615795069554652, ""gamma"": 0.9789726422230083, ""learning_rate"": 0.0357443291049178, ""max_depth"": 6, ""min_child_weight"": 6.753597514294579, ""n_estimators"": 600, ""reg_lambda"": 0.01533767580735594, ""subsample"": 0.962814537223329}",COMPLETE
108,0.8122535951710376,2026-09-21 14:55:09.737138,2026-09-21 14:55:13.229713,0 days 00:00:03.492575,0.6086081211927686,1.5471660593813357,0.030882251368619835,6,4.888705011355954,500,0.02311776303861127,0.9705053624683166,,"{""colsample_bytree"": 0.6086081211927686, ""gamma"": 1.5471660593813357, ""learning_rate"": 0.030882251368619835, ""max_depth"": 6, ""min_child_weight"": 4.888705011355954, ""n_estimators"": 500, ""reg_lambda"": 0.02311776303861127, ""subsample"": 0.9705053624683166}",COMPLETE
